,model,member,experiment,lfquery
0,CESM2,r1i1p1f1,historical,source_id=='CESM2' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
1,CESM2-FV2,r1i1p1f1,historical,source_id=='CESM2-FV2' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
2,CESM2-WACCM,r1i1p1f1,historical,source_id=='CESM2-WACCM' & experiment_id=='amip' & member_id=='r2i1p1f1' & variable_id=='sftlf' & table_id=='fx'
3,CESM2-WACCM-FV2,r1i1p1f1,historical,source_id=='CESM2-WACCM-FV2' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
4,CMCC-CM2-SR5,r1i1p1f1,historical,source_id=='CMCC-CM2-SR5' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
5,CanESM5,r11i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
6,CanESM5,r1i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
7,CanESM5,r21i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
8,CanESM5,r23i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
9,CanESM5,r4i1p2f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
10,E3SM-1-1,r1i1p1f1,historical,source_id=='E3SM-1-1' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
11,E3SM-1-1-ECA,r1i1p1f1,historical,source_id=='E3SM-1-1-ECA' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
12,FGOALS-g3,r1i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
13,FGOALS-g3,r1i1p1f1,ssp585,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
14,FGOALS-g3,r3i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
15,GFDL-CM4,r1i1p1f1,historical,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
16,GFDL-CM4,r1i1p1f1,ssp585,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
17,GFDL-ESM4,r1i1p1f1,historical,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
18,GFDL-ESM4,r1i1p1f1,ssp585,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
19,GISS-E2-1-H,r1i1p1f1,historical,source_id=='GISS-E2-1-H' & experiment_id=='piControl' & member_id=='r1i1p3f1' & variable_id=='sftlf' & table_id=='fx'
20,MIROC-ES2L,r1i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
21,MIROC-ES2L,r2i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
22,MIROC-ES2L,r3i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
23,MIROC6,r1i1p1f1,historical,source_id=='MIROC6' & experiment_id=='historical' & member_id=='r6i1p1f1' & variable_id=='sftlf' & table_id=='fx'
24,MPI-ESM-1-2-HAM,r1i1p1f1,historical,source_id=='MPI-ESM-1-2-HAM' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
25,MPI-ESM1-2-HR,r1i1p1f1,historical,source_id=='MPI-ESM1-2-HR' & experiment_id=='ssp370' & member_id=='r6i1p1f1' & variable_id=='sftlf' & table_id=='fx'
26,MPI-ESM1-2-LR,r1i1p1f1,historical,source_id=='MPI-ESM-1-2-HAM' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
27,MRI-ESM2-0,r1i1p1f1,historical,source_id=='MRI-ESM2-0' & experiment_id=='ssp126' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
28,SAM0-UNICON,r1i1p1f1,historical,source_id=='SAM0-UNICON' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
